Date,Open,High,Low,Close
2020-12-16,34.50,35.00,34.10,34.40
2020-12-15,33.50,34.50,33.05,34.45
2020-12-14,32.00,33.55,32.00,33.45
2020-12-11,31.55,31.70,31.10,31.55
2020-12-10,31.20,32.30,30.90,31.55
2020-12-09,30.80,31.35,30.75,31.15
2020-12-08,31.00,31.15,30.20,30.65
2020-12-07,31.00,31.75,30.75,31.00
2020-12-04,30.95,31.60,30.75,31.30
2020-12-03,30.00,31.35,29.85,31.10
2020-12-02,30.50,30.60,29.80,29.95
2020-12-01,29.00,30.75,28.70,30.50
2020-11-30,29.75,30.50,29.30,29.35
2020-11-27,27.55,29.25,27.30,29.25
2020-11-26,26.60,27.35,26.45,27.35
2020-11-25,27.10,27.30,26.70,26.80
2020-11-24,27.50,27.70,26.65,27.10
2020-11-23,27.70,27.85,27.30,27.60
2020-11-20,27.15,27.75,27.00,27.65
2020-11-19,27.10,27.25,26.70,27.15
2020-11-18,25.60,27.00,25.55,27.00
2020-11-17,24.95,25.60,24.85,25.60
2020-11-16,25.30,25.30,24.95,24.95
2020-11-13,25.10,25.20,24.95,25.10
2020-11-12,24.80,25.25,24.80,25.00
2020-11-11,24.90,24.95,24.60,24.80
2020-11-10,25.10,25.25,24.70,24.75
2020-11-09,24.70,24.90,24.40,24.80
2020-11-06,23.85,24.70,23.80,24.50
2020-11-05,24.00,24.20,23.85,23.85
2020-11-04,23.85,24.15,23.60,24.10
2020-11-03,22.80,23.95,22.80,23.60
2020-11-02,23.00,23.05,22.60,22.80
2020-10-30,23.80,23.85,22.85,23.20
2020-10-29,23.70,24.15,23.20,23.45
2020-10-28,24.95,24.95,24.00,24.00
2020-10-27,24.75,25.25,24.65,24.80
2020-10-26,24.65,25.45,24.65,24.90
2020-10-23,24.40,24.70,24.35,24.65
2020-10-22,24.40,24.40,24.20,24.35
2020-10-21,24.70,24.70,24.35,24.45
2020-10-20,24.50,24.80,24.30,24.60
2020-10-19,24.00,24.80,24.00,24.50
2020-10-16,24.10,24.20,23.65,24.00
2020-10-15,25.00,25.25,24.10,24.10
2020-10-14,25.10,25.30,25.00,25.00
2020-10-13,25.40,25.50,25.00,25.10
2020-10-12,25.55,25.80,25.35,25.40
2020-10-09,25.45,25.70,25.40,25.55
2020-10-08,25.85,25.85,25.30,25.50
2020-10-07,25.60,26.25,25.50,25.70
2020-10-06,25.90,25.90,25.55,25.75
2020-10-05,25.00,25.80,24.90,25.75
2020-10-02,25.30,25.45,24.30,25.00
2020-10-01,25.30,25.50,25.05,25.30
2020-09-30,24.35,24.90,24.25,24.90
2020-09-29,24.25,24.95,24.15,24.25
2020-09-28,24.15,24.30,24.05,24.15
2020-09-25,24.25,24.40,24.10,24.15
2020-09-24,24.15,24.40,24.00,24.35
2020-09-23,24.10,24.35,24.00,24.25
2020-09-22,23.80,24.35,23.80,24.00
2020-09-21,24.60,24.70,23.90,23.95
2020-09-18,24.75,24.80,24.45,24.60
2020-09-17,24.30,24.95,24.25,24.70
2020-09-16,23.95,24.55,23.85,24.30
2020-09-15,24.25,24.30,23.85,24.00
2020-09-14,24.40,24.50,24.20,24.25
2020-09-11,22.95,24.20,22.70,24.10
2020-09-10,22.85,23.20,22.55,22.95
2020-09-09,22.30,22.55,22.30,22.55
2020-09-08,23.00,23.00,22.40,22.50
2020-09-07,23.00,23.00,22.45,22.45
2020-09-04,21.95,23.15,21.85,22.85
2020-09-03,22.60,22.75,22.05,22.15
2020-09-01,22.65,22.85,22.35,22.45
2020-08-31,23.00,23.10,22.55,22.65
2020-08-28,23.00,23.15,22.85,22.85
2020-08-27,22.95,23.35,22.90,23.00
2020-08-26,22.70,23.40,22.50,22.95
2020-08-25,22.80,22.95,22.60,22.80
2020-08-24,23.25,23.30,22.70,22.80
2020-08-21,22.50,23.10,22.30,22.90
2020-08-20,21.40,22.40,21.30,22.30
2020-08-19,21.40,21.45,21.20,21.40
2020-08-18,21.20,21.50,21.15,21.35
2020-08-17,21.40,21.70,21.10,21.40
2020-08-14,21.20,21.90,21.05,21.45
2020-08-13,20.80,21.45,20.45,21.15
2020-08-12,20.30,20.75,20.30,20.60
2020-08-11,20.45,20.50,20.10,20.30
2020-08-10,20.85,20.85,20.30,20.45
2020-08-07,20.80,20.85,20.45,20.50
2020-08-06,20.05,20.85,20.05,20.55
2020-08-05,19.80,20.60,19.70,20.20
2020-08-04,20.00,20.70,19.90,20.00
2020-08-03,19.60,19.65,19.00,19.65
2020-07-31,18.40,18.40,18.30,18.40
2020-07-30,17.00,17.70,17.00,17.20
2020-07-29,17.25,17.50,16.65,17.00
2020-07-28,17.50,18.30,17.25,17.90
2020-07-27,17.50,18.35,17.50,17.50
2020-07-24,20.00,20.10,18.80,18.80
2020-07-23,19.90,20.30,19.90,20.20
2020-07-22,20.35,20.35,19.85,19.90
2020-07-21,20.50,20.55,20.05,20.35
2020-07-20,20.50,20.85,20.50,20.50
2020-07-17,20.50,20.90,20.50,20.80
2020-07-16,20.95,21.00,20.50,20.50
2020-07-15,20.80,21.05,20.50,20.70
2020-07-14,20.50,20.75,20.35,20.50
2020-07-13,21.00,21.10,20.40,20.50
2020-07-10,20.75,21.00,20.50,20.70
2020-07-09,21.20,21.50,20.95,21.10
2020-07-08,20.60,21.60,20.60,21.10
2020-07-07,19.70,20.85,19.70,20.60
2020-07-06,19.45,19.60,19.35,19.50
2020-07-03,19.35,19.40,19.25,19.35
2020-07-02,19.40,19.60,19.25,19.30
2020-07-01,19.55,19.55,19.15,19.40
2020-06-30,19.40,20.10,19.00,19.25
2020-06-29,20.70,20.70,19.40,19.70
2020-06-26,21.00,21.00,20.40,20.65
2020-06-25,20.05,20.75,20.05,20.70
2020-06-24,21.00,21.30,20.70,20.80
2020-06-23,21.25,21.25,20.90,21.00
2020-06-22,21.65,21.65,21.00,21.25
2020-06-19,21.00,21.30,20.70,21.30
2020-06-18,20.60,21.00,20.60,20.85
2020-06-17,21.35,21.35,20.60,20.85
2020-06-16,21.20,21.20,20.55,21.10
2020-06-15,22.00,22.00,19.90,20.30
2020-06-12,26.65,28.25,26.65,27.70
2020-06-11,30.35,30.50,28.25,28.25
2020-06-10,30.50,30.70,29.65,30.35
2020-06-09,29.00,30.85,28.80,30.45
2020-06-08,29.00,29.00,28.70,28.85
2020-06-05,28.50,28.80,28.20,28.60
2020-06-04,28.60,28.90,28.40,28.40
2020-06-03,28.30,29.10,28.10,28.60
2020-06-02,29.00,29.10,28.20,28.30
2020-06-01,28.80,29.00,28.50,28.70
2020-05-29,27.80,28.50,27.60,28.50
2020-05-28,27.35,27.90,27.20,27.70
2020-05-27,28.30,28.30,27.50,27.50
2020-05-26,28.40,28.70,28.00,28.15
2020-05-25,26.30,27.80,25.75,27.80
2020-05-22,26.75,26.75,26.00,26.00
2020-05-21,26.45,26.90,26.45,26.75
2020-05-20,26.70,26.90,26.45,26.45
2020-05-19,27.20,27.40,26.80,26.80
2020-05-18,26.70,27.15,26.40,26.90
2020-05-15,27.60,28.00,26.70,26.70
2020-05-14,25.30,27.25,25.10,27.25
2020-05-13,25.05,25.95,25.00,25.50
2020-05-12,24.80,25.60,24.50,25.30
2020-05-11,24.80,24.80,23.95,24.80
2020-05-08,24.45,24.60,23.90,24.00
2020-05-07,23.80,24.20,23.70,24.20
2020-05-06,23.70,23.85,23.30,23.80
2020-05-05,23.40,23.60,23.00,23.45
2020-05-04,24.10,24.10,23.40,23.40
2020-04-29,24.25,24.35,24.00,24.25
2020-04-28,23.75,24.35,23.70,24.20
2020-04-27,24.10,24.10,23.05,23.75
2020-04-24,23.00,23.50,22.65,23.20
2020-04-23,24.00,24.30,22.90,23.10
2020-04-22,21.60,23.80,21.60,23.75
2020-04-21,24.00,24.20,22.70,22.70
2020-04-20,25.40,25.50,24.00,24.40
2020-04-17,25.45,26.10,25.40,25.65
2020-04-16,23.20,24.40,23.20,24.40
2020-04-15,21.85,22.85,21.60,22.85
2020-04-14,21.00,21.50,20.70,21.40
2020-04-13,20.20,20.90,20.15,20.80
2020-04-10,19.70,20.55,19.70,20.00
2020-04-09,19.70,20.50,19.70,20.15
2020-04-08,20.00,20.20,19.10,19.75
2020-04-07,19.70,20.25,19.10,20.10
2020-04-06,18.10,18.95,18.10,18.95
2020-04-03,17.25,18.00,17.25,17.75
2020-04-01,16.40,17.30,16.30,16.95
2020-03-31,16.20,17.30,16.00,16.40
2020-03-30,16.45,16.75,16.20,16.20
2020-03-27,17.60,17.70,17.10,17.40
2020-03-26,18.25,18.25,17.25,17.30
2020-03-25,18.00,18.60,18.00,18.35
2020-03-24,17.30,18.20,16.70,17.65
2020-03-23,19.00,19.00,17.70,17.70
2020-03-20,18.90,19.25,18.70,19.00
2020-03-19,19.60,19.60,18.80,19.00
2020-03-18,19.95,20.00,19.30,19.80
2020-03-17,19.80,20.40,17.80,19.80
2020-03-16,19.50,20.20,19.10,19.10
2020-03-13,19.35,20.50,19.35,20.50
