Date,Open,High,Low,Close
2020-12-16,25.60,25.80,25.00,25.05
2020-12-15,24.80,26.10,24.80,25.50
2020-12-14,24.10,25.15,24.00,25.15
2020-12-11,22.80,23.55,22.55,23.55
2020-12-10,22.70,23.25,22.40,22.80
2020-12-09,22.20,23.20,22.20,22.70
2020-12-08,20.65,21.95,20.65,21.90
2020-12-07,20.55,20.60,20.25,20.55
2020-12-04,20.20,20.30,20.00,20.05
2020-12-03,19.90,20.40,19.80,20.20
2020-12-02,19.40,19.85,19.35,19.70
2020-12-01,18.80,19.40,18.80,19.40
2020-11-30,19.40,19.60,19.20,19.25
2020-11-27,19.15,19.40,19.15,19.35
2020-11-26,19.15,19.30,18.85,19.15
2020-11-25,19.20,19.30,18.95,19.20
2020-11-24,18.80,19.10,18.60,18.95
2020-11-23,18.20,18.75,18.05,18.70
2020-11-20,18.45,18.50,18.10,18.20
2020-11-19,18.55,18.60,18.30,18.45
2020-11-18,18.30,18.60,18.20,18.40
2020-11-17,17.85,18.25,17.65,18.25
2020-11-16,18.00,18.10,17.70,17.70
2020-11-13,17.60,17.80,17.45,17.80
2020-11-12,17.60,17.70,17.45,17.50
2020-11-11,17.80,17.90,17.50,17.50
2020-11-10,17.75,18.05,17.60,17.70
2020-11-09,17.25,17.60,17.25,17.50
2020-11-06,17.25,17.35,17.05,17.15
2020-11-05,17.40,17.55,17.25,17.25
2020-11-04,17.40,17.55,17.25,17.50
2020-11-03,17.25,17.40,17.20,17.35
2020-11-02,17.10,17.15,16.90,17.15
2020-10-30,17.10,17.15,16.70,17.10
2020-10-29,16.50,17.10,16.45,17.10
2020-10-28,17.10,17.25,16.50,16.70
2020-10-27,17.50,17.65,17.20,17.20
2020-10-26,17.90,18.10,17.60,17.60
2020-10-23,18.10,18.15,17.70,17.90
2020-10-22,17.55,18.00,17.40,18.00
2020-10-21,18.20,18.30,17.70,17.70
2020-10-20,18.35,18.35,17.90,18.20
2020-10-19,18.30,18.70,18.15,18.35
2020-10-16,18.10,18.30,17.95,18.15
