Date,Open,High,Low,Close
2020-12-16,58.40,58.60,57.80,58.60
2020-12-15,58.60,59.40,58.00,58.20
2020-12-14,58.00,59.40,57.30,58.60
2020-12-11,56.70,57.50,56.00,57.50
2020-12-10,57.90,58.00,56.50,56.70
2020-12-09,57.60,58.50,57.30,57.90
2020-12-08,56.50,58.20,56.40,57.60
2020-12-07,56.00,56.30,55.30,56.00
2020-12-04,56.60,56.80,55.30,55.40
2020-12-03,56.00,56.80,56.00,56.40
2020-12-02,55.20,55.80,54.90,55.80
2020-12-01,53.70,55.50,53.70,55.20
2020-11-30,55.90,56.50,55.00,55.00
2020-11-27,54.90,55.80,54.80,55.80
2020-11-26,55.10,55.30,54.40,54.60
2020-11-25,55.90,56.50,55.00,55.20
2020-11-24,57.00,58.00,54.00,55.80
2020-11-23,56.70,56.90,56.00,56.80
2020-11-20,57.20,57.30,56.60,56.80
2020-11-19,55.10,57.50,55.00,56.90
2020-11-18,54.70,55.70,54.40,55.30
2020-11-17,54.30,54.90,53.70,54.70
2020-11-16,55.50,55.50,53.90,54.00
2020-11-13,54.00,55.60,54.00,55.20
2020-11-12,53.50,54.00,53.10,54.00
2020-11-11,53.50,54.10,52.80,53.30
2020-11-10,53.90,53.90,53.10,53.50
2020-11-09,52.40,53.20,52.00,52.90
2020-11-06,52.20,52.40,51.50,52.00
2020-11-05,52.60,53.30,52.20,52.20
2020-11-04,52.00,53.00,51.40,52.60
2020-11-03,51.50,52.20,51.20,52.00
2020-11-02,50.50,51.20,49.10,51.00
2020-10-30,50.80,50.80,49.45,50.50
2020-10-29,49.00,50.80,48.70,50.20
2020-10-28,52.50,53.00,49.50,49.50
2020-10-27,53.50,54.20,52.60,53.00
2020-10-26,55.80,56.50,53.90,53.90
2020-10-23,54.70,55.90,54.30,55.50
2020-10-22,51.40,54.40,51.00,54.30
2020-10-21,54.00,54.00,52.00,52.00
2020-10-20,54.70,55.30,52.90,54.00
2020-10-19,55.10,56.00,55.10,55.50
2020-10-16,53.90,53.90,52.60,53.90
2020-10-15,54.00,54.80,53.20,54.00
2020-10-14,54.00,54.70,54.00,54.40
2020-10-13,53.50,54.70,53.00,53.70
2020-10-12,50.10,53.00,50.10,52.90
2020-10-09,49.65,50.20,49.30,49.80
2020-10-08,50.30,50.80,49.60,49.85
2020-10-07,48.65,50.20,48.20,49.85
2020-10-06,48.50,48.95,48.20,48.65
2020-10-05,48.40,48.55,48.00,48.00
2020-10-02,49.10,49.10,47.20,48.50
2020-10-01,48.70,49.05,48.70,48.85
2020-09-30,48.00,48.80,47.80,48.70
2020-09-29,49.75,49.85,48.00,48.00
2020-09-28,49.80,50.30,49.30,49.70
2020-09-25,49.30,49.60,49.00,49.50
2020-09-24,49.50,49.60,49.00,49.30
2020-09-23,49.90,50.40,49.70,49.85
2020-09-22,49.05,50.30,49.00,49.90
2020-09-21,48.95,49.90,48.80,49.45
2020-09-18,48.65,49.20,48.60,48.70
2020-09-17,48.00,48.40,48.00,48.40
2020-09-16,48.00,48.20,47.95,48.15
2020-09-15,48.60,48.80,48.00,48.05
2020-09-14,47.70,49.50,47.70,48.60
2020-09-11,47.30,48.00,47.30,47.65
2020-09-10,49.50,50.00,48.20,48.30
2020-09-09,49.00,49.80,48.80,49.30
2020-09-08,49.50,50.00,48.85,49.90
2020-09-07,51.50,51.90,49.05,49.05
2020-09-04,50.50,51.40,50.10,51.30
2020-09-03,51.50,52.10,51.20,51.70
2020-09-01,49.80,51.60,49.60,51.50
2020-08-31,48.25,50.30,48.25,49.90
2020-08-28,47.70,48.40,47.25,48.05
2020-08-27,47.60,47.80,47.20,47.60
2020-08-26,47.40,47.90,47.20,47.60
2020-08-25,47.50,48.20,47.35,47.40
2020-08-24,46.50,47.10,46.05,46.90
2020-08-21,45.30,45.95,45.30,45.85
2020-08-20,45.50,45.80,44.75,45.30
2020-08-19,44.60,45.40,44.60,45.30
2020-08-18,45.50,45.70,44.50,44.60
2020-08-17,45.50,45.80,45.20,45.50
2020-08-14,46.95,47.00,45.75,45.85
2020-08-13,45.50,47.60,45.50,46.95
2020-08-12,45.40,45.75,45.00,45.45
2020-08-11,45.50,45.65,45.20,45.25
2020-08-10,45.00,45.70,45.00,45.40
2020-08-07,45.50,45.50,44.65,44.90
2020-08-06,45.95,45.95,45.15,45.35
2020-08-05,45.30,46.20,44.50,46.00
2020-08-04,44.40,46.00,44.10,45.30
2020-08-03,40.40,43.20,40.40,43.20
2020-07-31,39.50,41.10,39.20,40.40
2020-07-30,40.80,41.00,40.40,40.60
